S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1261,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,EWS,415,415
1262,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,OPEN,702,630
1263,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,SC,405,405
1264,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,OBC,456,415
1265,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,EWS,487,448
1266,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,OPEN,566,488
1267,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,SC,343,259
1268,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,OBC,445,419
1269,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,EWS,433,415
1270,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,OPEN,600,515
1271,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,SC,414,392
1272,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,ST,301,301
1273,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,OBC,495,430
1274,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,EWS,457,457
1275,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,OPEN,583,537
1276,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,SC,331,330
1277,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Manufacturing Technology,Group 1,OBC,392,354
1278,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Manufacturing Technology,Group 1,EWS,327,327
1279,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Manufacturing Technology,Group 1,OPEN,549,468
1280,Round 1,"National Institute of Technology, Kurukshetra",Renewable Energy Systems,Group 3,ST,249,249
1281,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,OBC,555,537
1282,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,EWS,533,519
1283,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,OPEN,623,558
1284,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,SC,435,395
1285,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,ST,396,339
1286,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,OBC,504,478
1287,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,EWS,491,472
1288,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,OPEN,587,508
1289,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,SC,472,382
1290,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,ST,328,321
1291,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,OBC,537,488
1292,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,EWS,525,482
1293,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,OPEN,628,539
1294,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,SC,396,263
1295,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,ST,252,252
1296,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,OBC,505,451
1297,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,EWS,464,441
1298,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,OPEN,539,505
1299,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,SC,452,354
1300,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,ST,241,241
1301,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,OBC,522,498
1302,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,EWS,539,511
1303,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,OPEN,588,541
1304,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,SC,326,307
1305,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,ST,261,261
1306,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,Group 1,OBC,373,350
1307,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,Group 1,OPEN,418,391
1308,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,Group 1,SC,248,248
1309,Round 1,National Institute of Technology Mizoram,Thermal Engineering,Group 1,OBC,333,333
1310,Round 1,National Institute of Technology Mizoram,Thermal Engineering,Group 1,OPEN,392,354
1311,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OBC,396,384
1312,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OPEN,496,450
1313,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,SC,270,270
